[pulse] 73,sensor1,2019-11-11 15:07:10 
[pulse] 78,sensor1,2019-11-11 15:07:05 
[pulse] 72,sensor1,2019-11-11 15:07:00 
[pulse] 71,sensor1,2019-11-11 15:06:55 
[pulse] 78,sensor1,2019-11-11 15:06:50 
[pulse] 75,sensor1,2019-11-11 15:06:45 
[pulse] 72,sensor1,2019-11-11 15:06:40 
[pulse] 71,sensor1,2019-11-11 15:06:35 
[pulse] 71,sensor1,2019-11-11 15:06:30 
[pulse] 79,sensor1,2019-11-11 15:06:25 
[pulse] 70,sensor1,2019-11-11 15:06:20 
[pulse] 75,sensor1,2019-11-11 15:06:15 
[pulse] 73,sensor1,2019-11-11 15:06:10 
[pulse] 77,sensor1,2019-11-11 15:06:05 
[pulse] 72,sensor1,2019-11-11 15:06:00 
[pulse] 70,sensor1,2019-11-11 15:05:55 
[pulse] 79,sensor1,2019-11-11 15:05:50 
[pulse] 70,sensor1,2019-11-11 15:05:45 
[pulse] 79,sensor1,2019-11-11 15:05:40 
[pulse] 77,sensor1,2019-11-11 15:05:35 
[pulse] 70,sensor1,2019-11-11 15:05:30 
[pulse] 71,sensor1,2019-11-11 15:05:25 
[pulse] 77,sensor1,2019-11-11 15:05:20 
[pulse] 80,sensor1,2019-11-11 15:05:15 
[pulse] 73,sensor1,2019-11-11 15:05:10 
[pulse] 74,sensor1,2019-11-11 15:05:05 
[pulse] 76,sensor1,2019-11-11 15:05:00 
[pulse] 80,sensor1,2019-11-11 15:04:55 
[pulse] 77,sensor1,2019-11-11 15:04:50 
[pulse] 72,sensor1,2019-11-11 15:04:45 
[pulse] 74,sensor1,2019-11-11 15:04:40 
[pulse] 73,sensor1,2019-11-11 15:04:35 
[pulse] 73,sensor1,2019-11-11 15:04:30 
[pulse] 77,sensor1,2019-11-11 15:04:25 
[pulse] 73,sensor1,2019-11-11 15:04:20 
[pulse] 79,sensor1,2019-11-11 15:04:15 
[pulse] 77,sensor1,2019-11-11 15:04:10 
[pulse] 77,sensor1,2019-11-11 15:04:05 
[pulse] 78,sensor1,2019-11-11 15:04:00 
[pulse] 74,sensor1,2019-11-11 15:03:55 
[pulse] 71,sensor1,2019-11-11 15:03:50 
[pulse] 76,sensor1,2019-11-11 15:03:45 
[pulse] 78,sensor1,2019-11-11 15:03:40 
[pulse] 80,sensor1,2019-11-11 15:03:35 
[pulse] 79,sensor1,2019-11-11 15:03:30 
[pulse] 76,sensor1,2019-11-11 15:03:25 
[pulse] 70,sensor1,2019-11-11 15:03:20 
[pulse] 70,sensor1,2019-11-11 15:03:15 
[pulse] 80,sensor1,2019-11-11 15:03:10 
[pulse] 78,sensor1,2019-11-11 15:03:05 
[pulse] 79,sensor1,2019-11-11 15:03:00 
[pulse] 78,sensor1,2019-11-11 15:02:55 
[pulse] 70,sensor1,2019-11-11 15:02:50 
[pulse] 80,sensor1,2019-11-11 15:02:45 
[pulse] 78,sensor1,2019-11-11 15:02:40 
[pulse] 73,sensor1,2019-11-11 15:02:35 
[pulse] 77,sensor1,2019-11-11 15:02:30 
[pulse] 80,sensor1,2019-11-11 15:02:25 
[pulse] 70,sensor1,2019-11-11 15:02:20 
[pulse] 80,sensor1,2019-11-11 15:02:15 
[pulse] 73,sensor1,2019-11-11 15:02:10 
[pulse] 72,sensor1,2019-11-11 15:02:05 
[pulse] 70,sensor1,2019-11-11 15:02:00 
[pulse] 73,sensor1,2019-11-11 15:01:55 
[pulse] 75,sensor1,2019-11-11 15:01:50 
[pulse] 74,sensor1,2019-11-11 15:01:45 
[pulse] 73,sensor1,2019-11-11 15:01:40 
[pulse] 71,sensor1,2019-11-11 15:01:35 
[pulse] 75,sensor1,2019-11-11 15:01:30 
[pulse] 72,sensor1,2019-11-11 15:01:25 
[pulse] 78,sensor1,2019-11-11 15:01:20 
[pulse] 79,sensor1,2019-11-11 15:01:15 
[pulse] 74,sensor1,2019-11-11 15:01:10 
[pulse] 74,sensor1,2019-11-11 15:01:05 
[pulse] 74,sensor1,2019-11-11 15:01:00 
[pulse] 76,sensor1,2019-11-11 15:00:55 
[pulse] 73,sensor1,2019-11-11 15:00:50 
[pulse] 70,sensor1,2019-11-11 15:00:45 
[pulse] 70,sensor1,2019-11-11 15:00:40 
[pulse] 80,sensor1,2019-11-11 15:00:35 
[pulse] 72,sensor1,2019-11-11 15:00:30 
[pulse] 76,sensor1,2019-11-11 15:00:25 
[pulse] 77,sensor1,2019-11-11 15:00:20 
[pulse] 78,sensor1,2019-11-11 15:00:15 
[pulse] 72,sensor1,2019-11-11 15:00:10 
[pulse] 80,sensor1,2019-11-11 15:00:05 
[pulse] 73,sensor1,2019-11-11 15:00:00 
[pulse] 76,sensor1,2019-11-11 14:59:55 
